Region,Gaze Points,Total Time (seconds)
sidebar,15,0.94
header,11,1.68
product_a,0,0.00
product_b,0,0.00
product_c,0,0.00
buy_now,0,0.00
add_to_cart,0,0.00
more_info,0,0.00
