Region,Gaze Points,Total Time (seconds)
product_b,8,0.74
product_a,7,1.26
buy_now,1,0.00
header,0,0.00
sidebar,0,0.00
product_c,0,0.00
add_to_cart,0,0.00
more_info,0,0.00
